0:00:14.536288,0:00:28.952981,0:00:43.397381,0:00:59.535971,0:01:13.944325,0:01:28.676515,0:01:42.960689,0:01:57.143573,0:02:11.615339,0:02:26.371758,0:02:40.853564,0:02:55.649270,0:03:10.459222,0:03:25.057923,0:03:39.878247,0:03:54.526218,0:04:08.909493,0:04:23.482586,0:04:38.020004,0:04:52.400974,0:05:06.608128,0:05:20.836927,0:05:35.209218,0:05:49.716005,0:06:04.945597,0:06:19.470450,0:06:34.067492,0:06:48.546510,0:07:02.989216,0:07:17.463747,0:07:31.989880,0:07:46.645645,0:08:01.067117,0:08:15.357122,0:08:29.803674,0:08:45.250676,0:08:59.423904,0:09:13.810661,0:09:28.469446,0:09:42.707072,0:09:57.174205,0:10:11.492109,0:10:25.776466,0:10:40.164665,0:10:54.516363,0:11:09.706290,0:11:24.363231,0:11:38.859719,0:11:53.237591,0:12:07.656378
-1412.631163424939,-1594.1791099696934,-1590.007342080281,-1520.4203487926397,-1585.7673683311814,-1463.3143856421448,-1495.665022359297,-1500.591697146703,-1507.3568389966324,-1507.1365142108198,-1528.345125338435,-1023.3770582745884,-1416.390740796155,-1434.957239834458,-1055.4925582563433,-506.8211293497466,-737.2680436076373,-379.9807789566067,-501.9842623866845,-502.79236420461746,-239.76217984156713,-258.4662455845367,-257.89470815728527,-134.01372975084251,-124.8529388980043,-378.7894242819936,-258.2109714560069,-124.56577543441483,-252.3849178339316,-466.9274730510563,-243.70706114131514,-2.715068900323333,-122.24805627740392,-121.72805574503712,-118.11759317965684,-357.97509332171467,-230.36239824902242,-124.92199658055915,-116.32379485464617,-122.72684753874397,-114.59665733065465,-1.1809483367756186,-119.40803673948712,-348.42491869888175,-389.2323339629204,-5.33867469016625,-8.022672475322276,-130.29419174889284,-127.63413498120123,-7.636680429697888
0:00:14.477000,0:00:29.159573,0:00:43.625596,0:00:58.100285,0:01:12.700744,0:01:27.021966,0:01:41.858916,0:01:56.579269,0:02:11.190218,0:02:25.387279,0:02:40.310125,0:02:55.857825,0:03:11.666943,0:03:27.282376,0:03:42.077406,0:03:56.517958,0:04:11.737644,0:04:26.504263,0:04:41.263852,0:04:55.878379,0:05:10.359812,0:05:24.714213,0:05:38.964953,0:05:53.053031,0:06:07.247342,0:06:21.774958,0:06:36.157312,0:06:51.432199,0:07:05.865067,0:07:20.195023,0:07:34.373464,0:07:48.377185,0:08:02.915799,0:08:17.362121,0:08:31.582762,0:08:45.723174,0:08:59.731169,0:09:14.083332,0:09:28.916768,0:09:43.243419,0:09:57.823553,0:10:11.910412,0:10:26.128339,0:10:40.303857,0:10:54.284716,0:11:08.515967,0:11:22.638888,0:11:37.135406,0:11:51.391523,0:12:06.110959
-1320.3300313815923,-1684.1325203331714,-1746.1491959738971,-1424.470648249195,-1547.228749631313,-1408.9439724540555,-1501.39150671372,-1495.6117863516042,-1495.4944197856973,-1324.780556538386,-1272.2460161103775,-1193.4085784789886,-1044.487739233581,-919.9593999069672,-1099.553388963601,-795.785681638525,-388.92486961830355,-398.64177346921855,-1197.794664249798,-1236.476005242887,-640.2119447514712,-128.09012537745377,-132.87629665260775,-131.1834412790866,-128.92790031777008,-119.75807027294454,-3.632615331072153,-358.0107995137046,-124.25146685367531,-126.45509048129381,-127.15721333613,-124.66987736243087,-240.9920933866117,-241.77814803147794,-239.60068360959377,-123.53711367005556,-122.6831062018686,-128.6778806745452,-116.23295842636134,-362.61058775989983,-118.86287764808068,-117.95578809504725,-228.6598520662114,-1468.4380087116056,-118.37647460045207,-353.42535811749417,-123.46703579975026,-224.0071762893788,-124.93045533657718,-382.24741960814157
0:00:14.398668,0:00:28.690613,0:00:42.865260,0:00:57.195688,0:01:11.894454,0:01:26.486524,0:01:40.791863,0:01:55.049033,0:02:09.444217,0:02:23.815953,0:02:39.071374,0:02:54.110939,0:03:08.827068,0:03:23.449615,0:03:38.315157,0:03:53.086875,0:04:09.317454,0:04:24.883913,0:04:40.671679,0:04:56.630547,0:05:13.604472,0:05:30.127195,0:05:45.865799,0:06:01.617618,0:06:17.026036,0:06:32.378786,0:06:47.482047,0:07:03.174014,0:07:18.771815,0:07:33.737480,0:07:49.186355,0:08:04.356998,0:08:19.656856,0:08:34.844596,0:08:49.642970,0:09:04.816545,0:09:19.753503,0:09:34.861757,0:09:50.152438,0:10:05.039009,0:10:19.932513,0:10:35.712352,0:10:50.405454,0:11:05.605829,0:11:20.485985,0:11:35.163398,0:11:49.703594,0:12:04.376799,0:12:18.819347,0:12:33.857619
-1139.8995403611457,-1776.9232272249644,-1675.0554713005836,-1775.8430980224273,-1497.668065407985,-1583.4009991670666,-1398.3492854056278,-1297.8411565471333,-1109.6889758746854,-1563.9441669676942,-898.5650531168584,-648.3698087993738,-531.1682845595759,-525.7413532995915,-138.41974280732168,-131.32597348413285,-264.238225147795,-131.02883193638283,-257.141739622699,-138.55985089399877,-262.7042567381272,-126.7877876008409,-135.49267237699758,-2.8666924167168366,-118.74384158354371,-260.80790679575125,-125.88151721036014,-131.90685056454572,-127.97186172524442,-363.9037299585276,-247.3374673328046,-123.83338411762223,-1.4274502253144694,-125.17188886846719,-257.6671863888575,-119.66926512915732,-124.50306055556106,-361.8626453541031,-128.93991836024753,-123.62678503209519,-124.78354771037036,-124.70470568873387,-123.4697321746294,-127.10540992489585,-248.26138369207425,-125.31575052329903,-238.10637068181234,-246.8807130650727,-127.2266155738022,-126.31102204338141
0:00:14.707647,0:00:29.618322,0:00:44.687046,0:00:59.510977,0:01:14.532973,0:01:29.639553,0:01:44.460195,0:01:59.367124,0:02:14.144582,0:02:29.045572,0:02:44.076781,0:02:58.792468,0:03:14.057343,0:03:28.849317,0:03:43.421048,0:03:58.177762,0:04:13.078603,0:04:27.822547,0:04:42.364048,0:04:56.916915,0:05:11.352102,0:05:26.165622,0:05:41.160150,0:05:56.766039,0:06:11.310392,0:06:25.815008,0:06:40.431381,0:06:54.971128,0:07:10.119534,0:07:24.632779,0:07:39.084451,0:07:53.576339,0:08:08.034692,0:08:22.502106,0:08:38.081695,0:08:52.854619,0:09:07.560790,0:09:22.636000,0:09:37.991499,0:09:53.321266,0:10:08.743931,0:10:23.678205,0:10:38.457635,0:10:53.258401,0:11:08.418709,0:11:23.431387,0:11:38.365484,0:11:52.998911,0:12:07.594822,0:12:22.413833
-1196.0060080438943,-1695.4558529285707,-1092.9062250843244,-1557.5959185744127,-1723.028553077399,-1732.4694601458777,-1628.6147760226982,-1492.8739027779357,-1328.6433470324043,-1063.0046692489786,-780.3886344809564,-760.3622185124486,-446.0559118265187,-562.6541407403561,-207.32027676991083,-764.6802072270958,-1026.8340380106138,-130.71516052836358,-133.1514181779133,-258.20020017410496,-292.3919880296944,-125.79031075028587,-123.68750465378257,-126.39667618462705,-130.00211959893156,-245.282805062754,-134.2980402950178,-128.9310767957539,-240.7096807073771,-115.86786912784682,-128.30582413589735,-125.47571140569835,-329.226836629042,-126.52164772308282,-260.44680339283536,-126.7371776028379,-229.9957262457262,-129.59136838574946,-366.1246649940534,-231.62860608124902,-344.83058381152034,-371.2074889575479,-118.59987482191907,-117.33743707806651,-129.1888349378023,-127.05226987609632,-1.3619131622279608,-1.9540312905616037,-1.1380599171887904,-129.9144233729593
0:00:14.894530,0:00:29.640212,0:00:44.214880,0:00:58.578630,0:01:13.183676,0:01:27.878440,0:01:42.957905,0:01:57.784721,0:02:12.224524,0:02:26.707870,0:02:41.301328,0:02:55.801766,0:03:10.289192,0:03:25.350588,0:03:39.853561,0:03:54.305457,0:04:09.254750,0:04:23.755121,0:04:38.105949,0:04:52.947157,0:05:07.575541,0:05:22.089161,0:05:36.932317,0:05:51.286562,0:06:05.717184,0:06:20.412887,0:06:35.174747,0:06:50.041703,0:07:04.546327,0:07:18.928361,0:07:33.272515,0:07:47.916015,0:08:02.810874,0:08:17.318509,0:08:31.616636,0:08:46.017996,0:09:00.374887,0:09:15.220168,0:09:30.269463,0:09:45.342965,0:09:59.911586,0:10:14.512786,0:10:29.299178,0:10:44.583005,0:10:59.788383,0:11:14.570447,0:11:29.660855,0:11:44.657874,0:11:59.643733,0:12:14.830238
-1493.9059944663147,-1264.6415769612809,-1433.8837306805026,-1536.2105300475282,-1566.9825855212862,-1577.0639082613698,-1636.943344976372,-1543.5906690845359,-1339.5137788311747,-1515.602680000958,-801.5966958579047,-820.1757321586517,-645.6528964773742,-1501.2172877832336,-269.75883475809354,-784.8473754572037,-267.8189705314079,-261.57228251082887,-1539.3705528561622,-261.0036371625394,-131.9312956669185,-128.72736192318445,-133.04536864714038,-249.27232585495847,-122.36408237182694,-2.6829586578467244,-266.89128356840007,-379.3878127400668,-132.0673835979478,-540.9323597466633,-0.6684058302874271,-249.8551585438496,-128.2029491240627,-133.56928557219743,-241.70336022385058,-1.324368391376692,-774.071721729162,-485.3534894610517,-374.83663177515507,-2.4958264905591725,-252.61767108583476,-128.82958922683562,-239.40690897032275,-237.2462098068656,-268.2051186601411,-2.775117925461071,-130.39485387416772,-132.08463833713435,-366.5956046394464,-129.9304568075691
0:00:15.335086,0:00:29.991153,0:00:44.696985,0:01:00.017771,0:01:15.174412,0:01:29.731595,0:01:44.333129,0:01:58.747927,0:02:13.214890,0:02:27.641561,0:02:42.591803,0:02:57.635168,0:03:12.192366,0:03:26.956061,0:03:41.725902,0:03:57.072893,0:04:12.136901,0:04:26.808699,0:04:41.585960,0:04:56.501888,0:05:11.427884,0:05:26.390440,0:05:41.551526,0:05:56.187714,0:06:10.953943,0:06:25.647954,0:06:40.546972,0:06:55.541909,0:07:10.278681,0:07:25.246042,0:07:39.999089,0:07:55.140599,0:08:10.363791,0:08:25.890087,0:08:40.953776,0:08:56.097499,0:09:11.036201,0:09:26.008237,0:09:40.847534,0:09:55.553535,0:10:10.259802,0:10:24.873993,0:10:39.803219,0:10:54.565990,0:11:09.952249,0:11:24.744664,0:11:39.196076,0:11:53.722645,0:12:08.522929,0:12:23.147828
-889.9005302049432,-1565.067854885577,-1397.6765803292533,-1584.0712236723023,-1453.127454387693,-1601.2080200630771,-1443.2723828322773,-1142.4616804420323,-1496.224509836195,-896.2789027084993,-528.5381530693239,-401.6310463327397,-0.5761080783124624,-314.1539532671333,-132.90262660285364,-263.30607026964844,-260.9641132087899,-129.69725256146,-123.91084412026802,-116.67500064708592,-122.57583367655741,-232.33289131910632,-123.1815837718601,-126.75178866782467,-521.1745914360577,-237.86745816594785,-259.1674273745973,-242.87425281729824,-126.251986745899,-226.68924540394002,-1.314124110152712,-386.73857646950756,-128.22546366959673,-260.21107629506895,-128.64514465883602,-124.81268379026203,-233.456565031694,-298.295096104148,-127.41157116319215,-127.65510440472524,-356.9337030870304,-237.9147890259051,-124.16954680624775,-122.3660156702126,-118.81987960142749,-298.4776073870476,-1.9436672689252938,-124.74596768605518,-369.7312118657928,-128.33085671248034
0:00:14.639328,0:00:29.489274,0:00:44.016303,0:00:58.866663,0:01:13.940293,0:01:29.437337,0:01:44.295639,0:01:59.044125,0:02:13.851775,0:02:28.854757,0:02:43.827621,0:02:58.581594,0:03:13.119232,0:03:27.776042,0:03:42.450503,0:03:57.424461,0:04:12.426556,0:04:27.792780,0:04:42.697889,0:04:57.627005,0:05:12.716838,0:05:27.999807,0:05:42.938589,0:05:57.696046,0:06:12.338997,0:06:27.173715,0:06:42.442397,0:06:57.026688,0:07:12.187628,0:07:26.821411,0:07:41.439000,0:07:56.305089,0:08:11.278267,0:08:25.968338,0:08:40.758994,0:08:55.616879,0:09:10.691220,0:09:25.942100,0:09:41.016573,0:09:56.404921,0:10:10.852832,0:10:25.367188,0:10:40.205047,0:10:55.317861,0:11:10.071980,0:11:24.869824,0:11:39.868707,0:11:54.438285,0:12:09.515583,0:12:24.215950
-1583.3054921285857,-1358.9011797913868,-1668.484927685195,-713.4994083017875,-1514.0615962198838,-1400.7627568815724,-1406.421836596511,-1279.3279781908996,-910.7550124015066,-835.3045220136678,-989.4192704364286,-1494.4048395871225,-737.7526904323255,-407.5333126155529,-1071.273727267646,-1214.0304885551288,-134.45598211848952,-125.93678340503882,-840.316324138606,-1681.642543462697,-1023.3968240309098,-774.8850861108729,-1034.923411553269,-258.13349504567583,-134.4971062406232,-258.917670632649,-121.20304245849984,-125.65896270522413,-118.47732075710401,-243.00932831690426,-125.44751115195606,-244.08847526039477,-269.41152765159006,-241.1080983656548,-255.46619203607696,-3.1204515176130645,-239.65273643642698,-123.14913655841445,-124.77865320483679,-117.63168967291517,-2.022361854578953,-128.838893612302,-1.0028262579139218,-251.996187061718,-260.0807540964258,-253.37183786179529,-124.41730242009837,-116.82177374475177,-240.57038683923594,-120.25605572413362
